text,label
"Cổ phiếu FPT tăng cực mạnh nhờ kết quả kinh doanh tốt",2
"Thị trường chứng khoán lao dốc, hàng loạt cổ phiếu giảm sàn",0
"Giá vàng hôm nay đi ngang, không có nhiều biến động",1
"Vietcombank công bố lợi nhuận kỷ lục trong quý này",2
"Nhiều doanh nghiệp đối mặt với nguy cơ phá sản do thiếu vốn",0
"Giao dịch trong phiên sáng khá ảm đạm, nhà đầu tư thận trọng",1
"Cổ phiếu VNM có dấu hiệu hồi phục sau nhiều phiên giảm",2
"Dự báo thị trường bất động sản tiếp tục gặp khó khăn",0
"Ngân hàng nhà nước giữ nguyên mức lãi suất điều hành",1
"Start-up công nghệ Việt nhận được khoản đầu tư lớn",2
"Áp lực tỷ giá gia tăng khiến nhiều doanh nghiệp lo lắng",0
"Giá xăng dầu hôm nay được điều chỉnh nhẹ",1
ACB triển khai gói tài khoản thanh toán,2
ACB Chi nhánh Gia Lai khánh thành trụ sở mới,2
"Ngân hàng ACB báo lãi hơn 7.500 tỉ đồng, tín dụng tăng 16,8%",0
Giờ làm việc ngân hàng ACB mới nhất năm 2020,2
"Tá hỏa khi tài khoản NH ACB bỗng dưng ""bốc hơi"" 98 triệu đồng",0
ACB ra mắt thẻ tín dụng Visa Corporate cho doanh nghiệp,0
Phó TGĐ ngân hàng ACB mua xong 300.000 cổ phiếu,0
ACB thu hút khách hàng bằng chính sách tối đa hóa lợi ích,2
Hủy án sơ thẩm vụ Ngân hàng ACB khởi kiện Bầu Kiên,0
Tài sản của Chủ tịch “soái ca” ACB không ngừng... phình to,0
HoSE đã nhận hồ sơ niêm yết của ACB,2
ACB và Sun Life hợp tác 15 năm - mở ra cơ hội lớn,2
"9/12 tới, ACB chính thức niêm yết trên HOSE, giá tham chiếu 26.400 đồng/cổ phiếu",0
"ACB chính thức niêm yết trên HoSE từ hôm nay 9/12, lợi nhuận 11 tháng đạt hơn 8.700 tỷ đồng",0
ACB ký hợp đồng độc quyền 15 năm phân phối bảo hiểm với Sun Life,2
"Trước ACB, nhiều ngân hàng đã nở rộ trào lưu bán bảo hiểm",0
ACB lãi trước thuế gần 9.600 tỷ đồng trong năm 2020,0
"Chủ tịch Ngân hàng ACB Trần Hùng Huy: ACB lên sàn, nấc thang mới",0
"ACB miễn phí tài khoản lương ưu đãi Eco Plus dành cho cán bộ nhân viên, đối tác",2
Hai quỹ ngoại liên quan tới Dragon Capital đã bán hết hơn 100 triệu cổ phiếu ACB,0
"Ngân hàng ACB cảnh báo SMS lừa đảo đến từ tổng đài cùng tên ""ACB""",0
"Cập nhật cổ phiếu ACB – Nâng giá mục tiêu thêm 11,9% lên 34.100 đồng/Cp",2
"Cảnh báo chiêu trò mới: Hàng loạt đầu số ngân hàng như ACB, Sacombank... bị mạo danh gửi tin nhắn lừa đảo",0
"Đại hội đồng cổ đông ACB: Trả cổ tức bằng cổ phiếu 25%, không thoái vốn khỏi ACBS",0
Chủ tịch ACB: Năm 2021 có nhiều khả năng đạt mức tăng trưởng khả quan,2
ACB chi hơn 5.400 tỷ đồng chia cổ tức,0
Sun Life Việt Nam ưu đãi khách hàng mua bảo hiểm qua ngân hàng ACB,2
‘Be Yourself’ - Thông điệp kết nối ACB và khách hàng trẻ,2
ACB tung nhận diện mới cho bộ thẻ ngân hàng với tinh thần Be Yourself,2
ACB làm mới nhận diện thương hiệu thẻ ngân hàng,2
Máy ATM của ngân hàng ACB nghi bị đập nát màn hình,0
"Lãi suất ngân hàng ACB tháng 6/2021 cao nhất là 7,4%/năm",0
"Chủ tịch ACB Trần Hùng Huy khởi xướng tặng bánh trung thu cho tuyến đầu chống dịch, lập tức có hơn 10.000 người đăng ký cùng tham gia",2
Quản lý dòng tiền hiệu quả với ACB Business App,2
Lãi suất ngân hàng ACB cập nhật mới nhất tháng 7/2021,2
"Rao bán 3,7 triệu cổ phiếu ACB của ""bầu"" Kiên",0
"Mặc tạp dề ""khoe"" 6 múi và tài năng nấu ăn giữa thời điểm giãn cách, Chủ tịch ACB ""gây bão"" Facebook",0
"Lợi nhuận quý II của ACB, BIDV, HDBank,... được dự báo tăng gấp rưỡi cùng kỳ",2
"ACB giải ngân online dành cho KHDN: chỉ trong 3 phút, không cần đến ngân hàng",0
“Giải ngân Online” giúp doanh nghiệp tiếp cận nguồn vốn nhanh 24/7 từ ACB,2
"CTG, VCB, TCB, VIB, ACB – Top 5 mã chứng khoán ngân hàng tiềm năng",2
Chủ tịch ngân hàng đặc biệt nhất Việt Nam và hành trình 10 năm ‘trở lại yên chiến mã’ của ACB,2
ACB được vinh danh “Nơi làm việc tốt nhất Châu Á 2021”,2
Thanh niên vô danh ngồi ghế đá công viên 12 năm trước giờ đã là chủ tịch ngân hàng ACB,2
"“Tổng tài” ACB Trần Hùng Huy trải nghiệm làm phượt thủ khiến MXH nổi sóng: Chạy xe máy số thôi mà vẫn quá lãng tử, phong trần!",0
Cập nhật cổ phiếu ACB – Triển vọng tươi sáng hơn trong năm 2022,2
"Cảnh báo: Hàng loạt đầu số các ngân hàng lớn như Vietcombank, ACB, Sacombank... bị mạo danh, liên tục gửi tin nhắn lừa đảo",0
"TVC quảng cáo của ACB: Từ “Mỗi ngày tôi chọn một niềm vui” có mặt chủ tịch tương lai, tới “Sống nhẹ thêm vui” mùa Valentine 2022",2
"Chủ tịch ACB Trần Hùng Huy khoe ảnh chụp cùng ""chị mẹ"", hóa ra đẹp trai phong độ là nhờ gen cả!",2
Nợ có khả năng mất vốn ngân hàng ACB tăng hơn 40%,0
"Cổ đông than phiền bị chèo kéo tư vấn bảo hiểm, sếp ACB lên tiếng",0
"ACB được vinh danh ""Thương hiệu truyền cảm hứng"" từ APEA",2
ACB giành giải thưởng Ngân hàng bán lẻ Việt Nam tiêu biểu 2021,2
Điều tra vụ giám đốc phòng giao dịch ngân hàng ACB bị tố chiếm đoạt gần 5 tỷ đồng,0
Giám đốc phòng giao dịch Ngân hàng ACB bị tố chiếm đoạt gần 5 tỷ đồng,0
Ngân hàng ACB đặt mục tiêu lãi sau thuế hơn 12.000 tỷ đồng năm 2022,0
Chị em lại một lần nữa “bỏng mắt” với body cực “mờ lem” trên hồ bơi của chủ tịch ACB Trần Hùng Huy,0
"44 tuổi, Chủ tịch ACB Trần Hùng Huy vẫn gây sốt bởi một thứ mà hội trai trẻ chưa chắc đã có được",0
Cập nhật cổ phiếu ACB – Triển vọng lợi nhuận tích cực,2
"""Thực hư"" thu nhập bình quân nhân viên ngân hàng ACB lên tới 47,1 triệu đồng/tháng",0
ACB ký kết hợp tác toàn diện với Tập đoàn Giáo dục Khôi Nguyên,2
"Trước khi thay Tổng giám đốc, ACB lột xác thế nào dưới thời ông Đỗ Minh Toàn?",0
Chân dung ông Từ Tiến Phát - Tân Tổng giám đốc của ACB,0
"Lãi suất ngân hàng ACB tháng 1/2022 cao nhất 7,1%/năm",0
Sun Life Việt Nam triển khai chương trình khuyến mãi lớn cho khách hàng mua bảo hiểm qua Ngân hàng ACB,2
Cập nhật mới nhất giờ làm việc ngân hàng ACB năm 2022,2
Tân Phó Tổng Giám đốc Ngân hàng ACB là MC nổi tiếng của VTV,2
